xuhao,yield
SWW11120B003U,7.64
SWW11120B004,7.34
SWW11120B005,9.04
SWW11120B006,8.45
SWW11120B007,8.30
SWW11120B008,7.26
SWW11120B009,8.30
SWW11123B001,9.04
SWW11123B002,8.60
SWW11123B003,9.49
SWW11123B004,8.52
SWW11127B001,5.78
SWW11127B002,7.78
SWW11127B003,9.49
SWW11127B004T,9.86
SWW11127B005T,8.52
SWW111281SSD111U,8.01
SWW111281SSD112,8.75
SWW111281SSD113,7.86
SWW111281SSD114,6.82
SWW111281SSD115,8.90
SWW111281SSD116,8.52
SWW111281SSD117U,8.60
SWW11130B001T,8.08
SWW11131B001T,9.86
SWW11131B002,8.15
SWW11131B003,8.67
SWW11131B004,7.41
SWW11131B005,9.34
SWW11131B006,7.34
SWW11131B007,7.19
SWW11131B008T,7.04
SWW11137B001,9.04
SWW11137B002,8.60
SWW11137B003U,9.27
SWW11137B004,8.23
SWW11137B005T,8.30
SWW11137B006U,8.23
SWW11138B001,7.19
SWW11138B002U,8.67
SWW11138B003,8.30
SWW11138B004,8.90
SWW11138B005,9.49
SWW11138B006,8.82
SWW11138B007,8.82
SWW11139B001,8.30
SWW11139B002,8.23
SWW11139B003,7.41
SWW11139B004,7.49
SWW11139B005,7.26
SWW11139B006,7.71
SWW11139B008U,7.26
SWW11139B009,7.93
SWW11140B001,8.82
SWW11140B002,9.49
SWW11140B003,10.01
SWW11140B004,9.56
SWW11140B005,9.86
SWW11140B006,9.56
SWW11140B007,10.08
SWW11140B008,9.71
SWW11142B001T,10.23
SWW11142B002,9.19
SWW11142B003,10.38
SWW11142B004U,9.86
SWW11142B005,11.05
SWW11143B001U,9.56
SWW11143B002U,8.97
SWW11143B003U,10.38
SWW11143B004,10.97
SWW11143B005,10.30
SWW11145B001,9.86
SWW11145B002U,10.53
SWW11145B003,10.08
SWW11146B001,9.93
SWW11146B002,10.16
SWW11154B001,8.08
SWW11155B001,6.60
SWW11155B002,7.26
SWW11155B003,8.38
SWW11155B004,9.19
SWW11157B001T,9.04
SWW11157B002T,9.93
SWW11157B003,9.56
SWW11157B004,8.38
SWW11157B005,8.60
SWW11158B001T,9.04
SWW11158B002,7.93
SWW11158B003,8.30
SWW11159B001,7.64
SWW11159B002,7.78
SWW11159B003U,7.41
SWW11166B001U,9.41
SWW11166B002U,7.93
SWW11166B003,8.75
SWW11166B004,8.45
SWW11166B005,8.82
SWW11166B006,9.41
SWW11166B007,8.90
SWW11166B008,8.67
SWW11166B009,8.30
SWW11184B001,8.30
SWW11184B002,7.71
SWW11184B003,7.34
SWW11184B004,6.82
SWW11184B005,6.67
SWW11187B001,7.12
SWW11187B002,8.38
SWW11187B003,8.23
SWW11188B001,7.19
SWW11188B002U,8.90
SWW11188B003,8.01
SWW11191B001UT,7.56
SWW11191B002U,6.75
SWW11191B003,7.64
SWW11191B004U,7.86
SWW11191B005,8.08
SWW11192B0010,8.52
SWW11192B0011,9.71
SWW11192B0012,5.34
SWW11192B0013,10.75
SWW11192B001U,7.56
SWW11192B002,7.19
SWW11192B003,8.08
SWW11192B004,8.30
SWW11192B005,8.75
SWW11192B006,8.45
SWW11192B007,8.60
SWW11192B008,8.23
SWW11192B009U,8.01
SWW11195B001,8.52
SWW11195B002,8.45
SWW11196B001,10.23
SWW11197B001,9.19
SWW11199B001U,9.49
SWW11205B001,9.19
SWW11205B002,8.97
SWW11214B001,10.08
SWW11214B002,9.49
SWW11214B003U,9.64
SWW11214B004U,10.01
SWW11214B005U,9.86
SWW11214B006,10.38
SWW11214B007,10.01
SWW11221B001,8.38
SWW11221B002,9.19
SWW11221B003U,8.08
SWW11221B004,8.97
SWW11221B005,9.49
SWW11221B006,8.15
SWW11222B001,8.15
SWW11222B002U,7.93
SWW11222B003UT,9.19
SWW11222B004,7.78
SWW11225B001,9.04
SWW11225B002,9.41
SWW11227B001,8.97
SWW11227B002T,9.71
SWW11227B003T,10.08
SWW11227B004,8.75
SWW11229B001U,9.64
SWW11229B002,8.90
SWW11229B003T,9.04
SWW11229B004T,9.27
SWW11229B005,7.86
SWW11230B001T,8.38
SWW11230B002,8.15
SWW11230B003,7.41
SWW11230B004,8.97
SWW11230B005,8.01
SWW11230B006,10.23
SWW11230B007,8.67
SWW11230B008,8.01
SWW11236B001T,8.38
SWW11236B002,8.97
SWW11236B003T,7.64
SWW11268B001,7.56
SWW11268B002,7.49
SWW11336B001,8.60
SWW11349B001,7.64
SWW11349B002,7.49
SWW14206DH10,8.52
SWW14206DH150,7.64
SWW14206DH200,8.97
SWW14206DH250,9.34
SWW14206DH40,8.60
SWW14206DH50,9.34
SWW14207DH120,10.53
SWW14207DH330,6.67
SWW14207DH440,7.78
SWW14207DH490,4.23
SWW14215DH240,7.19
SWW14215DH30,6.23
SWW14215DH70,9.34
SWW14216DH70,11.05
SWW14217DH260,10.08
SWW14251DH130,4.30
SWW14251DH170,7.78
SWW14251DH20,9.79
SWW14251DH230,9.56
SWW14251DH240,10.08
SWW14251DH270,7.19
SWW14251DH280,10.75
SWW14251DH290,4.97
SWW14251DH30,3.19
SWW14251DH300,10.53
SWW14251DH310,11.42
SWW14251DH330,9.56
SWW14251DH360,12.23
SWW14251DH370,11.71
SWW14251DH40,6.15
SWW14251DH60,8.01
SWW14251DH80,9.56
SWW14254DH110,11.79
SWW14254DH150,10.67
SWW14254DH180,11.79
SWW14254DH200,8.23
SWW14254DH240,12.23
SWW14254DH250,13.42
SWW14254DH270,11.93
SWW14254DH360,11.12
SWW14254DH380,5.49
SWW14254DH40,9.27
SWW14254DH70,9.49
SWW14254DH80,12.08
SWW14254DH90,10.45
SWW14256DH10,11.12
SWW14256DH120,12.75
SWW14256DH150,12.08
SWW14256DH160,10.60
SWW14256DH170,7.71
SWW14256DH230,10.67
SWW14256DH240,7.12
SWW14256DH250,12.08
SWW14256DH260,11.64
SWW14256DH290,10.30
SWW14256DH300,4.30
SWW14256DH310,11.86
SWW14256DH330,9.49
SWW14256DH360,10.60
SWW14256DH390,9.34
SWW14256DH470,8.82
SWW14256DH480,9.12
SWW14256DH490,10.08
SWW14256DH530,9.27
SWW14256DH550,9.56
SWW14256DH70,5.34
SWW14256DH90,10.53
SWW14257DH120,10.75
SWW14257DH150,7.04
SWW14257DH200,10.67
SWW14257DH60,11.27
SWW14258DH110,7.26
SWW14258DH150,6.82
SWW14258DH160,10.53
SWW14258DH170,10.08
SWW14258DH180,11.79
SWW14258DH230,10.60
SWW14258DH260,12.08
SWW14258DH30,8.52
SWW14258DH310,9.34
SWW14258DH390,8.23
SWW14258DH400,9.41
SWW14258DH70,8.97
SWW14296DH10,10.90
SWW14296DH1000,9.79
SWW14296DH1060,9.93
SWW14296DH110,9.49
SWW14296DH120,11.64
SWW14296DH130,11.42
SWW14296DH140,8.23
SWW14296DH150,8.82
SWW14296DH160,10.60
SWW14296DH170,8.90
SWW14296DH190,9.71
SWW14296DH20,9.12
